,machine_id,site_session_id,domain_id,ref_domain_name,pages_viewed,duration,event_date,event_time,tran_flg,prod_category_id,prod_name,prod_qty,prod_totprice,basket_tot,hoh_most_education,census_region,household_size,hoh_oldest_age,household_income,children,racial_background,connection_speed,country_of_origin,zip_code,domain_name,,Non-Product Domain Referrals,
825111,73652665,3.75032E+12,9.38955E+18,,1,1,1/25/11,3:00:22,,,,,,,99,3,1,11,6,0,2,1,0,20009,channel9newsreport.com,,theiq-quiz.com,1
825110,73652665,3.75032E+12,1.13854E+19,,2,0,1/25/11,3:00:24,,,,,,,99,3,1,11,6,0,2,1,0,20009,wikkit.org,,dietanswer.net,1
825109,73652665,3.75032E+12,1.00939E+19,,2,0,1/25/11,3:00:29,,,,,,,99,3,1,11,6,0,2,1,0,20009,bigdeal.com,,dealpal.com,1
825111,73652665,3.75032E+12,9.38955E+18,,1,1,1/25/11,3:00:22,,,,,,,99,3,1,11,6,0,2,1,0,20009,channel9newsreport.com,,weatherbug.com,1
825110,73652665,3.75032E+12,1.13854E+19,,2,0,1/25/11,3:00:24,,,,,,,99,3,1,11,6,0,2,1,0,20009,wikkit.org,,atenlgo.info,1
856835,73794888,3.67629E+12,8.08727E+18,,1,1,1/10/11,18:43:26,,,,,,,99,2,4,6,5,1,1,1,0,55433,dermatalskincare.com,,depensive.com,1
868097,73874593,3.49215E+12,1.60649E+19,health8news.com,2,0,1/7/11,23:10:17,,,,,,,99,4,6,2,1,1,5,1,0,90723,dlxtrack.com,,vypixel.com,1
868096,73874593,3.49215E+12,5.11074E+18,,1,13,1/7/11,23:10:18,,,,,,,99,4,6,2,1,1,5,1,0,90723,emediatrack.com,,tracking202.com,1
868095,73874593,3.49215E+12,1.62795E+19,,35,15,1/7/11,23:10:20,,,,,,,99,4,6,2,1,1,5,1,0,90723,southbeachjava.com,,kirklands.com,1
868097,73874593,3.49215E+12,1.60649E+19,health8news.com,2,0,1/7/11,23:10:17,,,,,,,99,4,6,2,1,1,5,1,0,90723,dlxtrack.com,,amazon.com,1
868100,73874593,3.49215E+12,1.60649E+19,,2,1,1/7/11,23:00:37,,,,,,,99,4,6,2,1,1,5,1,0,90723,dlxtrack.com,,zoneforselfhelp.com,1
868107,73874593,3.49215E+12,1.84394E+18,,2,1,1/7/11,22:43:48,,,,,,,99,4,6,2,1,1,5,1,0,90723,theiq-quiz.com,,cpctrackingsite.com,1
868106,73874593,3.49215E+12,1.33102E+18,,2,7,1/7/11,22:44:00,,,,,,,99,4,6,2,1,1,5,1,0,90723,health8news.com,,officialwebsurvey.com,1
868105,73874593,3.49215E+12,1.01338E+19,health8news.com,2,7,1/7/11,22:44:06,,,,,,,99,4,6,2,1,1,5,1,0,90723,dlxm.net,,v8t4.com,1
890646,73947980,3.76062E+12,1.54915E+18,online6health.com,1,1,1/12/11,1:45:49,,,,,,,99,1,6,8,6,1,2,1,0,2155,getleanspa.com,,postup.com,1
921842,74012718,3.64083E+12,6.21294E+18,,3,10,1/31/11,22:30:57,,,,,,,99,1,2,6,1,1,5,1,0,10459,homecashflowsolution.com,,xbox.com,1
923655,74019202,3.68059E+12,1.00939E+19,facebook.com,1,1,1/20/11,17:52:21,,,,,,,99,3,6,8,4,1,1,1,0,72703,bigdeal.com,,chase.com,1
944547,74089317,3.58043E+12,8.39872E+18,,1,1,1/6/11,20:15:51,,,,,,,99,3,2,8,4,1,2,1,0,40218,lynxtrack.com,,platinumharvestcpv.info,1
944544,74089317,3.58043E+12,1.00939E+19,,2,0,1/6/11,20:15:57,,,,,,,99,3,2,8,4,1,2,1,0,40218,bigdeal.com,,arrowoutlet.com,1
944546,74089317,3.58043E+12,9.90933E+18,,2,0,1/6/11,20:15:57,,,,,,,99,3,2,8,4,1,2,1,0,40218,grdte.com,,dirpy.com,1
944547,74089317,3.58043E+12,8.39872E+18,,1,1,1/6/11,20:15:51,,,,,,,99,3,2,8,4,1,2,1,0,40218,lynxtrack.com,,hcfsmembers.com,1
944544,74089317,3.58043E+12,1.00939E+19,,2,0,1/6/11,20:15:57,,,,,,,99,3,2,8,4,1,2,1,0,40218,bigdeal.com,,google.co.th,1
944546,74089317,3.58043E+12,9.90933E+18,,2,0,1/6/11,20:15:57,,,,,,,99,3,2,8,4,1,2,1,0,40218,grdte.com,,blend.com,1
944547,74089317,3.58043E+12,8.39872E+18,,1,1,1/6/11,20:15:51,,,,,,,99,3,2,8,4,1,2,1,0,40218,lynxtrack.com,,eadvtracker.com,1
944544,74089317,3.58043E+12,1.00939E+19,,2,0,1/6/11,20:15:57,,,,,,,99,3,2,8,4,1,2,1,0,40218,bigdeal.com,,htton.com,1
944546,74089317,3.58043E+12,9.90933E+18,,2,0,1/6/11,20:15:57,,,,,,,99,3,2,8,4,1,2,1,0,40218,grdte.com,,kbtplkhspqjknjm.biz,1
944547,74089317,3.58043E+12,8.39872E+18,,1,1,1/6/11,20:15:51,,,,,,,99,3,2,8,4,1,2,1,0,40218,lynxtrack.com,,searchcanvas.com,1
944544,74089317,3.58043E+12,1.00939E+19,,2,0,1/6/11,20:15:57,,,,,,,99,3,2,8,4,1,2,1,0,40218,bigdeal.com,,wildtangent.com,1
944546,74089317,3.58043E+12,9.90933E+18,,2,0,1/6/11,20:15:57,,,,,,,99,3,2,8,4,1,2,1,0,40218,grdte.com,,smarterlifestyles.com,1
956227,74105192,3.73639E+12,1.04035E+19,news11today.net,2,1,1/27/11,23:29:12,,,,,,,99,3,1,11,3,0,1,1,0,24422,home-online-jobs.org,,travel-videos.com,1
968973,74170919,3.75623E+12,1.61336E+19,,1,1,1/26/11,17:32:40,,,,,,,99,4,5,10,5,1,3,1,0,94589,consumerstrickweekly.com,,venicehotelsgroup.com,1
968972,74170919,3.75623E+12,7.40539E+18,consumerstrickweekly.com,1,1,1/26/11,17:32:41,,,,,,,99,4,5,10,5,1,3,1,0,94589,trackingspot.info,,trailersandvideos.com,1
977916,74283419,3.78848E+12,1.54915E+18,,4,3,1/18/11,16:56:57,,,,,,,99,4,2,10,4,0,1,1,0,93401,getleanspa.com,,radialabsdirect.net,1
993880,74343319,3.69537E+12,6.86105E+18,facebook.com,1,1,1/21/11,20:41:25,,,,,,,99,4,2,9,4,1,5,1,1,91601,medisrv.com,,freddybeach.com,1
993879,74343319,3.69537E+12,3.60599E+18,medisrv.com,1,1,1/21/11,20:41:26,,,,,,,99,4,2,9,4,1,5,1,1,91601,fdxat8.com,,toolbarsmedia.com,1
993878,74343319,3.69537E+12,7.40539E+18,fdxat8.com,1,1,1/21/11,20:41:29,,,,,,,99,4,2,9,4,1,5,1,1,91601,trackingspot.info,,fatburningfurnace.com,1
1009322,74384958,3.74163E+12,4.79444E+17,consumertipsdaily7.com,31,16,1/11/11,21:40:08,,,,,,,99,2,2,11,5,0,1,1,0,60545,trytadalafil.com,,allrecipes.com,1
1009324,74384958,3.74163E+12,1.11044E+19,,1,1,1/11/11,21:48:34,,,,,,,99,2,2,11,5,0,1,1,0,60545,yahoo.com,,mp3raid.com,1
1009323,74384958,3.74163E+12,1.62795E+19,yahoo.com,18,6,1/11/11,21:48:43,,,,,,,99,2,2,11,5,0,1,1,0,60545,southbeachjava.com,,myhughesnet.com,1
1009326,74384958,3.74163E+12,1.54915E+18,consumertipsdaily7.com,5,4,1/11/11,21:34:56,,,,,,,99,2,2,11,5,0,1,1,0,60545,getleanspa.com,,partyrehabb.com,1
1017128,74401613,3.52456E+12,8.08727E+18,,1,1,1/7/11,0:47:48,,,,,,,99,3,4,9,5,1,1,1,0,27604,dermatalskincare.com,,fiscalcashloan.com,1
1032899,74555650,3.8796E+12,6.21294E+18,,6,21,1/17/11,12:38:22,,,,,,,99,3,2,9,5,0,1,1,0,32068,homecashflowsolution.com,,cashadvancevip.com,1
1034499,74556421,3.67259E+12,1.00939E+19,facebook.com,15,4,1/22/11,8:24:16,,,,,,,99,3,3,2,6,1,2,1,0,29676,bigdeal.com,,bidfun.com,1
1040269,74561550,3.80568E+12,9.56418E+18,,2,9,1/18/11,2:24:52,,,,,,,99,2,3,3,2,1,2,1,0,45220,bestmoneymakerspro.com,,webex.com,1
1040257,74561550,3.80568E+12,1.04035E+19,,11,35,1/18/11,2:24:56,,,,,,,99,2,3,3,2,1,2,1,0,45220,home-online-jobs.org,,adminder.com,1
1039904,74561550,3.64578E+12,9.56418E+18,,1,1,1/28/11,19:00:49,,,,,,,99,2,3,3,2,1,2,1,0,45220,bestmoneymakerspro.com,,promoinfoservices.com,1
1039903,74561550,3.64578E+12,1.04035E+19,,2,0,1/28/11,19:00:53,,,,,,,99,2,3,3,2,1,2,1,0,45220,home-online-jobs.org,,maturepornuk.com,1
1060617,74691648,3.67252E+12,6.21294E+18,,3,1,1/31/11,19:30:15,,,,,,,99,3,1,11,1,0,1,1,0,34984,homecashflowsolution.com,,firesearch.com,1
1081506,74809174,3.64054E+12,1.54915E+18,,2,0,1/5/11,15:13:26,,,,,,,99,3,5,11,3,0,1,1,0,27217,getleanspa.com,,trackinganalytics.com,1
1095369,74830084,3.82213E+12,2.74912E+18,consumertipsonline.net,2,2,1/18/11,0:20:57,,,,,,,99,3,3,10,5,0,1,1,0,79106,fibradetox.com,,offermatica.com,1
1095370,74830084,3.82213E+12,1.54915E+18,,6,4,1/18/11,0:16:18,,,,,,,99,3,3,10,5,0,1,1,0,79106,getleanspa.com,,clickyme.info,1
1111889,74955280,3.67E+12,1.00939E+19,google.com,7,1,1/4/11,7:33:38,,,,,,,99,1,4,7,6,0,1,1,0,2151,bigdeal.com,,classifiedads.com,1
1135977,74979043,3.81515E+12,8.08727E+18,,1,1,1/13/11,14:24:56,,,,,,,99,2,3,1,1,1,5,0,0,45002,dermatalskincare.com,,bing.com,1
1158851,75088846,3.81689E+12,1.35423E+18,,1,0,1/13/11,23:02:11,,,,,,,99,2,3,11,6,1,1,1,0,46901,theinstantwealthbuilder.com,,biglots.com,1
1162817,75090426,3.77916E+12,1.04035E+19,newsdaily7.com,2,0,1/27/11,18:52:33,,,,,,,99,3,5,8,7,1,1,1,0,38316,home-online-jobs.org,,prosoftsystems.net,1
